State,Date,Population,Monthly Inflation Rate,State-wise GDP,total_vehicles_sold,EV_Stations,Petroleum_Consumption,Predicted_EV_Sales
andaman & nicobar islands,2025-01-01,38036.88568832087,4.200000000000001,4.97499871660828,257.3668544640962,3.01,223.62726,0.9702678128157095
andaman & nicobar islands,2025-02-01,38055.90413116502,4.181587577160511,5.007960230448827,403.6718974832411,3.02,223.92531,0.9702678128157095
andaman & nicobar islands,2025-03-01,38074.92257400919,4.165200617283937,5.041220005465336,456.582881190738,3.03,224.29166,1.0697147095709307
andaman & nicobar islands,2025-04-01,38093.94101685334,4.150781250000001,5.074806943752352,360.74156689324855,3.04,224.55965,0.9702678128157095
andaman & nicobar islands,2025-05-01,38112.95945969751,4.138271604938283,5.108749947404705,409.7832165113357,3.05,224.84758,0.9702678128157095
andaman & nicobar islands,2025-06-01,38131.97790254167,4.127613811728387,5.143077918517216,244.7417189556917,3.06,225.14888,0.9649602667730341
andaman & nicobar islands,2025-07-01,38150.99634538582,4.11875,5.177819759184425,574.3338106435001,3.0700000000000003,225.39445,1.5408938506926266
andaman & nicobar islands,2025-08-01,38170.01478822999,4.111622299382723,5.213004371501164,600.7736715201346,3.08,225.54494,3.8323853868223527
andaman & nicobar islands,2025-09-01,38189.03323107414,4.1061728395061685,5.248660657562259,336.9374647740336,3.09,225.89095,0.9702678128157095
andaman & nicobar islands,2025-10-01,38208.05167391831,4.10234375,5.284817519462245,484.01252851991,3.1,226.12437,1.0850311106472226
andaman & nicobar islands,2025-11-01,38227.07011676247,4.100077160493829,5.3215038592959525,745.3644875942093,3.1100000000000003,226.37581,5.2374744586274025
andaman & nicobar islands,2025-12-01,38246.08855960664,4.099315200617284,5.358748579158214,457.7156609701968,3.12,226.57487,1.0697147095709307
andaman & nicobar islands,2026-01-01,38366.99385150815,4.1,5.396580581143558,42.834289589374336,3.13,226.6016,0.9649602667730341
andaman & nicobar islands,2026-02-01,38386.1773484339,4.102073688271601,5.435028767346815,297.20602086678264,3.14,226.71489,0.9702678128157095
andaman & nicobar islands,2026-03-01,38405.360845359646,4.105478395061731,5.4741220398628245,307.8372684828348,3.1500000000000004,226.80826,0.9702678128157095
andaman & nicobar islands,2026-04-01,38424.54434228541,4.110156249999999,5.51388930078611,246.6567445732105,3.16,226.88885,0.9649602667730341
andaman & nicobar islands,2026-05-01,38443.72783921116,4.116049382716042,5.5543594522115,279.41764640607767,3.17,226.9663,0.9702678128157095
andaman & nicobar islands,2026-06-01,38462.91133613691,4.1230999228395095,5.595561396233842,166.95571820264087,3.18,227.02711,0.9649602667730341
andaman & nicobar islands,2026-07-01,38482.094833062656,4.131249999999996,5.637524034947645,391.7535046762385,3.1900000000000004,227.08691,0.9702678128157095
andaman & nicobar islands,2026-08-01,38501.278329988425,4.140441743827147,5.680276270447752,409.7913607499681,3.2,227.14473,0.9702678128157095
andaman & nicobar islands,2026-09-01,38520.46182691418,4.150617283950622,5.723847004829015,229.82676921276845,3.21,227.17809,0.9649602667730341
andaman & nicobar islands,2026-10-01,38539.645323839926,4.161718749999995,5.768265140185925,330.1475380359793,3.22,227.21124,0.9702678128157095
andaman & nicobar islands,2026-11-01,38558.82882076568,4.173688271604919,5.8135595786133285,508.4170889195275,3.2300000000000004,227.23508,1.1050207236873482
andaman & nicobar islands,2026-12-01,38578.01231769144,4.186467978395065,5.859759222206083,312.21029296197025,3.24,227.2563,0.9702678128157095
andhra pradesh,2025-01-01,8444088.788461594,4.200000000000001,1104.4366573476243,64368.72562301552,335.84719944000244,8060.8516,2402.420797823619
andhra pradesh,2025-02-01,8448310.832855824,4.181587577160511,1111.7540269070662,64083.21975079089,343.28111743927,8063.8135,2402.420797823619
andhra pradesh,2025-03-01,8452532.877250055,4.165200617283937,1119.1376096647336,66109.93158189722,348.69190645217896,8067.871,2403.1258284284386
andhra pradesh,2025-04-01,8456754.921644285,4.150781250000001,1126.593821809758,61716.86926772969,351.3026180267334,8070.957,2457.8502285075833
andhra pradesh,2025-05-01,8460976.966038516,4.138271604938283,1134.1290795313314,66490.43415397256,352.36261802673346,8073.6533,2403.1258284284386
andhra pradesh,2025-06-01,8465199.010432748,4.127613811728387,1141.749799018647,61556.780263607856,353.4226180267334,8075.6323,2457.8502285075833
andhra pradesh,2025-07-01,8469421.054826979,4.11875,1149.4623964608345,64298.79290195503,354.4826180267334,8078.155,2402.420797823619
andhra pradesh,2025-08-01,8473643.09922121,4.111622299382723,1157.273288047087,66621.65655506971,355.5426180267334,8080.5435,2403.1258284284386
andhra pradesh,2025-09-01,8477865.143615441,4.1061728395061685,1165.1888899665971,64367.89122199633,356.60261802673347,8082.538,2402.420797823619
andhra pradesh,2025-10-01,8482087.18800967,4.10234375,1173.2156184084938,70865.22395180514,357.6626180267334,8084.219,2402.623997971199
andhra pradesh,2025-11-01,8486309.2324039,4.100077160493829,1181.3598895619707,79076.7225558343,358.7226180267334,8085.6694,2456.2046667757077
andhra pradesh,2025-12-01,8490531.276798133,4.099315200617284,1189.6281196162229,69380.35145086578,359.7826180267334,8087.0938,2402.623997971199
andhra pradesh,2026-01-01,8517371.934263546,4.1,1198.026724760376,66857.29814177206,360.8426180267335,8087.1436,2403.1258284284386
andhra pradesh,2026-02-01,8521630.620230677,4.102073688271601,1206.5621211836244,66673.58603115565,361.9026180267334,8087.875,2403.1258284284386
andhra pradesh,2026-03-01,8525889.306197809,4.105478395061731,1215.2407250751646,67464.27641763541,362.9626180267334,8088.374,2403.1258284284386
andhra pradesh,2026-04-01,8530147.992164942,4.110156249999999,1224.0689526241208,65549.96166831734,364.0226180267334,8088.822,2398.0888253697035
andhra pradesh,2026-05-01,8534406.678132074,4.116049382716042,1233.0532200196876,67498.29795494115,365.0826180267335,8089.1816,2403.1258284284386
andhra pradesh,2026-06-01,8538665.364099205,4.1230999228395095,1242.1999434510624,65356.39520250776,366.14261802673343,8089.521,2416.225199220497
andhra pradesh,2026-07-01,8542924.050066333,4.131249999999996,1251.515539107367,66448.89568884332,367.20261802673343,8089.7373,2403.1258284284386
andhra pradesh,2026-08-01,8547182.736033468,4.140441743827147,1261.0064231777988,67364.87936280911,368.26261802673343,8089.891,2403.1258284284386
andhra pradesh,2026-09-01,8551441.422000598,4.150617283950622,1270.6790118515562,66352.50487574146,369.32261802673344,8090.0107,2403.1258284284386
andhra pradesh,2026-10-01,8555700.10796773,4.161718749999995,1280.539721317758,69027.68872584938,370.38261802673344,8090.103,2403.1258284284386
andhra pradesh,2026-11-01,8559958.793934861,4.173688271604919,1290.5949677656008,72425.27213675434,371.44261802673344,8090.173,2433.5639478405333
andhra pradesh,2026-12-01,8564217.479901996,4.186467978395065,1300.8511673842854,68277.09968948814,372.50261802673344,8090.2085,2403.1258284284386
arunachal pradesh,2025-01-01,138170.73436387422,4.200000000000001,18.07191134851931,2464.692031869401,9.01,348.04044,4.224525989005222
arunachal pradesh,2025-02-01,138239.81973105614,4.181587577160511,18.191645561525394,2478.022618961044,9.02,348.25156,4.224525989005222
arunachal pradesh,2025-03-01,138308.90509823806,4.165200617283937,18.31246322195281,2523.364107364569,9.03,348.5837,4.224525989005222
arunachal pradesh,2025-04-01,138377.99046542004,4.150781250000001,18.43446931798756,2500.580623864937,9.04,348.83527,4.224525989005222
arunachal pradesh,2025-05-01,138447.07583260196,4.138271604938283,18.557768837816567,2405.512306871294,9.05,349.0948,4.224525989005222
arunachal pradesh,2025-06-01,138516.16119978388,4.127613811728387,18.68246676962683,2422.134155403767,9.06,349.3443,4.224525989005222
arunachal pradesh,2025-07-01,138585.2465669658,4.11875,18.808668101604315,2503.628803153091,9.07,349.5587,4.224525989005222
arunachal pradesh,2025-08-01,138654.33193414778,4.111622299382723,18.936477821935984,2530.771610837908,9.08,349.75195,4.224525989005222
arunachal pradesh,2025-09-01,138723.4173013297,4.1061728395061685,19.06600091880884,2518.8472745616587,9.09,349.9822,4.224525989005222
arunachal pradesh,2025-10-01,138792.50266851165,4.10234375,19.197342380408784,2566.683405515824,9.1,350.16995,4.224525989005222
arunachal pradesh,2025-11-01,138861.5880356936,4.100077160493829,19.330607194922827,2547.5387007615827,9.11,350.30002,4.224525989005222
arunachal pradesh,2025-12-01,138930.67340287557,4.099315200617284,19.46590035053798,2555.7404767388107,9.12,350.45035,4.224525989005222
arunachal pradesh,2026-01-01,139369.86742910047,4.1,19.60332683544012,2553.4722619094214,9.13,350.4432,4.224525989005222
arunachal pradesh,2026-02-01,139439.55236281498,4.102073688271601,19.74299163781625,2533.598557391429,9.14,350.52676,4.224525989005222
arunachal pradesh,2026-03-01,139509.23729652955,4.105478395061731,19.884999745853413,2490.778612889335,9.15,350.5821,4.224525989005222
arunachal pradesh,2026-04-01,139578.92223024412,4.110156249999999,20.02945614773747,2496.8692468231816,9.16,350.634,4.224525989005222
arunachal pradesh,2026-05-01,139648.60716395866,4.116049382716042,20.176465831655424,2554.8554913955804,9.17,350.67566,4.224525989005222
arunachal pradesh,2026-06-01,139718.2920976732,4.1230999228395095,20.32613378579433,2532.717978296016,9.18,350.70862,4.224525989005222
arunachal pradesh,2026-07-01,139787.97703138774,4.131249999999996,20.47856499834001,2464.052498900405,9.19,350.73456,4.224525989005222
arunachal pradesh,2026-08-01,139857.6619651023,4.140441743827147,20.633864457479497,2434.4138514633446,9.2,350.7563,4.224525989005222
arunachal pradesh,2026-09-01,139927.34689881688,4.150617283950622,20.79213715139989,2432.8337756166,9.21,350.76715,4.224525989005222
arunachal pradesh,2026-10-01,139997.0318325314,4.161718749999995,20.95348806828693,2388.394137174764,9.22,350.77582,4.2111989070515365
arunachal pradesh,2026-11-01,140066.71676624593,4.173688271604919,21.11802219632768,2392.043645689174,9.23,350.78583,4.2111989070515365
arunachal pradesh,2026-12-01,140136.40169996052,4.186467978395065,21.28584452370924,2376.0935506491287,9.24,350.7892,4.2111989070515365
assam,2025-01-01,3115430.5899993205,4.200000000000001,407.4798161429868,50323.09428664875,89.64453876018526,3121.095,256.1568432141354
assam,2025-02-01,3116988.30529432,4.181587577160511,410.179545804163,48076.07461038949,92.6694929599762,3122.9512,255.9496291374791
assam,2025-03-01,3118546.020589319,4.165200617283937,412.90370469960953,51116.11573804422,94.81684803962708,3124.7888,256.89083447167826
assam,2025-04-01,3120103.7358843195,4.150781250000001,415.6546600701731,47675.18691375625,95.59179830551147,3126.904,256.0950794907452
assam,2025-05-01,3121661.451179319,4.138271604938283,418.43477915672247,47465.28907631032,95.98179830551148,3129.3887,256.0950794907452
assam,2025-06-01,3123219.166474318,4.127613811728387,421.2464292001265,45040.1283634869,96.37179830551146,3131.397,256.3313240457467
assam,2025-07-01,3124776.8817693177,4.11875,424.09197744123145,46013.90368284794,96.76179830551148,3133.253,257.862173277488
assam,2025-08-01,3126334.597064318,4.111622299382723,426.9737911209064,46033.23764411623,97.15179830551148,3134.6118,257.862173277488
assam,2025-09-01,3127892.3123593177,4.1061728395061685,429.8942374800207,47328.74390452715,97.54179830551148,3136.5312,256.0950794907452
assam,2025-10-01,3129450.0276543167,4.10234375,432.8556837594194,55963.924351758295,97.93179830551146,3137.8826,256.89083447167826
assam,2025-11-01,3131007.7429493167,4.100077160493829,435.8604971999724,50553.49291791085,98.32179830551148,3139.0652,256.1568432141354
assam,2025-12-01,3132565.4582443167,4.099315200617284,438.9110450425492,49727.73725735168,98.7117983055115,3140.7302,256.1568432141354
assam,2026-01-01,3142468.268058172,4.1,442.0096945279945,51658.0784691389,99.10179830551148,3141.3232,256.89083447167826
assam,2026-02-01,3144039.502192201,4.102073688271601,445.1588128971778,50047.32777890704,99.49179830551148,3142.1592,256.1568432141354
assam,2026-03-01,3145610.7363262298,4.105478395061731,448.3607673909695,52059.11171928416,99.88179830551148,3142.934,256.89083447167826
assam,2026-04-01,3147181.97046026,4.110156249999999,451.6179252502136,49630.987599098575,100.27179830551148,3143.6187,256.1568432141354
assam,2026-05-01,3148753.2045942885,4.116049382716042,454.9326537157799,49416.78105064335,100.66179830551148,3144.2058,256.1568432141354
assam,2026-06-01,3150324.4387283176,4.1230999228395095,458.3073200285391,47685.1592202813,101.05179830551148,3144.7295,256.0950794907452
assam,2026-07-01,3151895.6728623463,4.131249999999996,461.74429142933417,48282.48661329491,101.44179830551148,3145.169,255.9873421047637
assam,2026-08-01,3153466.906996376,4.140441743827147,465.24593515903575,48226.20265421686,101.83179830551148,3145.6143,255.9496291374791
assam,2026-09-01,3155038.1411304045,4.150617283950622,468.8146184585152,49044.530566502304,102.22179830551148,3145.952,256.1568432141354
assam,2026-10-01,3156609.3752644337,4.161718749999995,472.4527085686144,54891.65858811406,102.61179830551148,3146.2632,256.89083447167826
assam,2026-11-01,3158180.6093984623,4.173688271604919,476.1625727302037,51116.22875465632,103.00179830551149,3146.558,256.89083447167826
assam,2026-12-01,3159751.8435324924,4.186467978395065,479.9465781841551,50482.10893976763,103.39179830551149,3146.776,256.1568432141354
bihar,2025-01-01,10392655.54663652,4.200000000000001,1359.2976152236358,84403.40681088716,127.7005937099457,5561.3613,1170.5217770192412
bihar,2025-02-01,10397851.874409838,4.181587577160511,1368.3035486338383,90419.66975827693,131.023955821991,5559.3345,1321.269817652578
bihar,2025-03-01,10403048.202183155,4.165200617283937,1377.3909746691231,98502.5712360798,133.94107198715213,5557.194,1385.0455932448826
bihar,2025-04-01,10408244.529956477,4.150781250000001,1386.567790125135,94828.43008874796,136.0239567756653,5554.725,1390.265824360619
bihar,2025-05-01,10413440.857729793,4.138271604938283,1395.8418917975916,113546.89247317504,137.08646774291995,5552.1475,1330.1921984206392
bihar,2025-06-01,10418637.185503112,4.127613811728387,1405.221176482214,97430.83200967246,137.13958978652957,5550.2485,1389.9293043066068
bihar,2025-07-01,10423833.513276428,4.11875,1414.7135409746445,86421.16437590531,137.55958978652956,5548.7456,1170.5217770192412
bihar,2025-08-01,10429029.84104975,4.111622299382723,1424.326882070603,81706.202191434,137.97958978652954,5547.044,1170.6556820537005
bihar,2025-09-01,10434226.168823063,4.1061728395061685,1434.06909656581,83267.10283713428,138.39958978652956,5545.805,1175.445079160936
bihar,2025-10-01,10439422.496596385,4.10234375,1443.9480812559063,86585.54480442232,138.81958978652955,5544.834,1170.5217770192412
bihar,2025-11-01,10444618.8243697,4.100077160493829,1453.9717329366122,124195.2687848175,139.23958978652954,5544.9014,1364.0190212068342
bihar,2025-12-01,10449815.152143022,4.099315200617284,1464.1479484036508,93815.4805492851,139.65958978652955,5544.896,1387.8276354464906
bihar,2026-01-01,10482849.587790413,4.1,1474.4846244526595,89347.1172224919,140.07958978652954,5545.159,1241.2729387888294
bihar,2026-02-01,10488091.012584306,4.102073688271601,1484.98965787936,92874.80450555574,140.49958978652955,5545.487,1367.8482339145694
bihar,2026-03-01,10493332.4373782,4.105478395061731,1495.6709454794757,97649.8041214241,140.91958978652954,5546.019,1389.9293043066068
bihar,2026-04-01,10498573.8621721,4.110156249999999,1506.536384048644,95330.71494459391,141.33958978652953,5546.632,1390.265824360619
bihar,2026-05-01,10503815.286965992,4.116049382716042,1517.5938703825857,106523.90503245482,141.75958978652957,5547.2773,1378.1424784404549
bihar,2026-06-01,10509056.711759888,4.1230999228395095,1528.851301277026,96697.73413692554,142.17958978652956,5547.9966,1389.9293043066068
bihar,2026-07-01,10514298.13655378,4.131249999999996,1540.3165735275984,89953.10244252729,142.59958978652955,5548.7085,1241.5744916096708
bihar,2026-08-01,10519539.561347678,4.140441743827147,1551.9975839300278,87007.05349429123,143.01958978652954,5549.403,1170.5217770192412
bihar,2026-09-01,10524780.986141574,4.150617283950622,1563.9022292800412,87848.21667296467,143.43958978652955,5549.979,1216.8847420889545
bihar,2026-10-01,10530022.410935467,4.161718749999995,1576.038406373267,89750.17357064069,143.85958978652957,5550.4897,1241.2729387888294
bihar,2026-11-01,10535263.835729362,4.173688271604919,1588.41401200543,112344.23255023125,144.27958978652956,5550.9067,1330.1921984206392
bihar,2026-12-01,10540505.26052326,4.186467978395065,1601.03694297226,93912.74709380804,144.69958978652954,5551.248,1390.3368123534055
chandigarh,2025-01-01,105325.23464876252,4.200000000000001,13.775915081421877,3602.169708955289,12.326573729515076,418.7769,202.3972287041048
chandigarh,2025-02-01,105377.89726608687,4.181587577160511,13.867186464891107,3406.1590261301144,12.583244323730469,419.10535,220.2070331119627
chandigarh,2025-03-01,105430.55988341126,4.165200617283937,13.959283742167791,3326.961419420131,12.718914151191711,419.45715,220.75838165803887
chandigarh,2025-04-01,105483.22250073568,4.150781250000001,14.05228694398618,3474.759135119566,12.789825320243835,420.03308,220.2070331119627
chandigarh,2025-05-01,105535.88511806005,4.138271604938283,14.146276101081272,3354.3189237004376,12.859825320243836,420.21786,220.75838165803887
chandigarh,2025-06-01,105588.54773538442,4.127613811728387,14.241331244188087,3610.9476407521497,12.929825320243836,420.6569,202.33037145469896
chandigarh,2025-07-01,105641.2103527088,4.11875,14.337532404040866,3362.838067635101,12.999825320243836,421.12506,220.75838165803887
chandigarh,2025-08-01,105693.8729700332,4.111622299382723,14.434959611374618,3402.9780893760385,13.069825320243837,421.40564,220.2070331119627
chandigarh,2025-09-01,105746.53558735756,4.1061728395061685,14.53369289692437,3287.0863099384155,13.139825320243837,421.68707,269.53115676007025
